sensor_id,sensor_desc,sensor_lat,sensor_lon,sensor_isOutdoor,sensor_dir1,sensor_dir2,sensor_note
153,narrm ngarrgu Library - Level 2 - Study Area Lifts 2,-37.80780367,144.95829765,0,,,
154,narrm ngarrgu Library - Level 3 Children's Library Door 1,-37.80778437,144.95862772,0,,,
155,narrm ngarrgu Library - Level 3 Children's Library Door 2,-37.80783201,144.95845043,0,,,
158,514 Elizebeth Street,-37.80657467,144.96007044,0,,,
159,516 Elizeberth Street,-37.80651646,144.96007934,0,,,
160,"City Baths, 420 Swanston Street - Main Entry",-37.80699526,144.96306214,0,,,
161,Birrarung Marr - COM - Pole 1109,-37.81851276,144.97131336,1,East,West,
162,iHub 489 Elizabeth Street,-37.80740397,144.95987909,1,North,South,
164,I-Hub 526 La Trobe Street (Footpath),-37.813005,144.95160411,1,East,West,
165,475 Spencer Street,-37.80953359,144.94939004,1,North,South,
166,484 Spencer Street,-37.80896733,144.94931703,1,North,South,Former sensor 227 Bourke Street – City Lab
167,I-Hub 526 La Trobe Street (Crossing),-37.81304149,144.95155955,1,North,South,
179,61-67 Power Street Southbank,-37.82392385,144.96299677,1,North,South,
180,"Pumping Station No.2, 330 Macaulay Road",-37.79497059,144.93530329,1,East,West,
181,368 Elizabeth Street,-37.81009465,144.96143149,1,North,South,Moved from 380 Elizabeth Street
182,163 King Street,-37.81627451,144.95550503,1,North,South,
184,124 Elizabeth Street,-37.81512416,144.96371988,1,North,South,
185,197 Elizabeth Street,-37.81374643,144.96276183,1,North,South,
187,RMIT Building 22 - 330 Swanston Street,-37.80942561,144.96395473,1,East,West,
188,RMIT Building 51 - 80-92 Victoria Street,-37.80663222,144.96456557,1,North,South,
209,Flinders Underpass - Walkway,-37.81909037,144.96549709,1,North,South,Upgraded on 8/09/21
